time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,5,4,0,0
2026-06-06 00:00:00+00:00,13,7,3,1
2026-06-07 00:00:00+00:00,21,11,0,0
2026-06-08 00:00:00+00:00,20,10,0,0
2026-06-09 00:00:00+00:00,24,10,0,0
2026-06-10 00:00:00+00:00,18,10,0,0
2026-06-11 00:00:00+00:00,26,12,2,2
2026-06-12 00:00:00+00:00,22,11,0,0
2026-06-13 00:00:00+00:00,21,8,2,1
2026-06-14 00:00:00+00:00,21,10,0,0
2026-06-15 00:00:00+00:00,18,7,1,1
2026-06-16 00:00:00+00:00,25,9,4,2
2026-06-17 00:00:00+00:00,18,9,0,0
