time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,20,7,0,0
2026-05-29 00:00:00+00:00,21,8,1,1
2026-05-30 00:00:00+00:00,16,6,0,0
2026-05-31 00:00:00+00:00,21,10,0,0
2026-06-01 00:00:00+00:00,17,7,0,0
2026-06-02 00:00:00+00:00,13,7,0,0
2026-06-03 00:00:00+00:00,23,9,1,1
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,5,4,0,0
2026-06-06 00:00:00+00:00,13,7,3,1
2026-06-07 00:00:00+00:00,21,11,0,0
2026-06-08 00:00:00+00:00,20,10,0,0
2026-06-09 00:00:00+00:00,24,10,0,0
2026-06-10 00:00:00+00:00,18,10,0,0
