time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,5,5,0,0
2026-07-23 00:00:00+00:00,19,9,0,0
2026-07-24 00:00:00+00:00,11,5,0,0
2026-07-25 00:00:00+00:00,14,6,0,0
2026-07-26 00:00:00+00:00,27,9,0,0
2026-07-27 00:00:00+00:00,19,10,0,0
2026-07-28 00:00:00+00:00,7,7,0,0
2026-07-29 00:00:00+00:00,23,9,2,2
2026-07-30 00:00:00+00:00,10,5,8,2
2026-07-31 00:00:00+00:00,16,7,0,0
2026-08-01 00:00:00+00:00,10,5,0,0
2026-08-02 00:00:00+00:00,20,6,1,1
2026-08-03 00:00:00+00:00,1,1,1,1
2026-08-04 00:00:00+00:00,10,5,0,0
