time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,53,15,0,0
2026-04-30 00:00:00+00:00,19,8,0,0
2026-05-01 00:00:00+00:00,21,6,3,1
2026-05-02 00:00:00+00:00,26,10,0,0
2026-05-03 00:00:00+00:00,15,9,0,0
2026-05-04 00:00:00+00:00,25,10,4,2
2026-05-05 00:00:00+00:00,41,11,0,0
2026-05-06 00:00:00+00:00,26,8,5,1
2026-05-07 00:00:00+00:00,18,8,5,1
2026-05-08 00:00:00+00:00,31,10,1,1
2026-05-09 00:00:00+00:00,17,8,0,0
2026-05-10 00:00:00+00:00,10,5,0,0
2026-05-11 00:00:00+00:00,3,3,0,0
2026-05-12 00:00:00+00:00,13,4,1,1
