time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-03 00:00:00+00:00,3,3,5.0,2.0
2024-12-04 00:00:00+00:00,1,1,1.0,1.0
2024-12-06 00:00:00+00:00,1,1,1.0,1.0
2024-12-07 00:00:00+00:00,1,1,,
2024-12-08 00:00:00+00:00,1,1,,
2024-12-09 00:00:00+00:00,4,4,49.0,6.0
2024-12-10 00:00:00+00:00,7,3,,
2024-12-11 00:00:00+00:00,1,1,2.0,2.0
2024-12-12 00:00:00+00:00,2,2,1.0,1.0
2024-12-13 00:00:00+00:00,3,2,6.0,1.0
2024-12-14 00:00:00+00:00,4,2,2.0,1.0
2024-12-15 00:00:00+00:00,1,1,,
2024-12-16 00:00:00+00:00,1,1,17.0,2.0
